Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

C11        0603w             2174.981mil   1123.019mil       2152mil       1146mil       2152mil       1146mil  T        315.00 0.1uF          
C5         1206               2285.73mil    1253.73mil       2238mil       1206mil       2238mil       1206mil  T         45.00 0.1uF          
C7         1206               2392.73mil    1218.73mil       2345mil       1171mil       2345mil       1171mil  T         45.00 0.1uF          
C12        0603w             1678.019mil   1336.981mil       1701mil       1314mil       1701mil       1314mil  T        135.00 2.2uF          
JP1        sma_pcb_200           1655mil        174mil       1555mil         74mil       1655mil        174mil  T         90.00 SMA            
JP2        sma_pcb_200           2405mil        174mil       2305mil         74mil       2405mil        174mil  T         90.00 SMA            
JP7        sma_pcb_200           2742mil       4882mil       2642mil       4782mil       2742mil       4882mil  T         90.00 SMA            
JP8        sma_pcb_200           1992mil       4882mil       1892mil       4782mil       1992mil       4882mil  T         90.00 SMA            
R2         0603w                 1885mil      584.5mil       1885mil        552mil       1885mil        552mil  B         90.00 150*           
R3         0603w                 1820mil      650.5mil       1820mil        618mil       1820mil        618mil  B         90.00 220*           
R4         0603w                 1786mil      967.5mil       1786mil        935mil       1786mil        935mil  T         90.00 49.9*          
R5         0603w               1712.5mil        406mil       1680mil        406mil       1680mil        406mil  B        360.00 100k           
R6         0603w               1923.5mil        686mil       1956mil        686mil       1956mil        686mil  B        180.00 49.9*          
R7         0603w                 1490mil      798.5mil       1490mil        831mil       1490mil        831mil  B        270.00 220*           
R8         0603w                 1720mil      967.5mil       1720mil        935mil       1720mil        935mil  T         90.00 49.9*          
R9         0603w               1576.5mil        406mil       1544mil        406mil       1544mil        406mil  B        360.00 1M             
R10        0603w                 1556mil      798.5mil       1556mil        766mil       1556mil        766mil  B         90.00 249*           
R11        0603w                 2379mil      797.5mil       2379mil        765mil       2379mil        765mil  B         90.00 249*           
R12        0603w                 2443mil      583.5mil       2443mil        551mil       2443mil        551mil  B         90.00 150*           
R13        0603w                 2372mil      649.5mil       2372mil        617mil       2372mil        617mil  B         90.00 220*           
R14        0603w                 2203mil      967.5mil       2203mil        935mil       2203mil        935mil  T         90.00 49.9*          
R15        0603w               2364.5mil        406mil       2332mil        406mil       2332mil        406mil  B        360.00 100k           
R16        0603w               2473.5mil        685mil       2506mil        685mil       2506mil        685mil  B        180.00 49.9*          
R17        0603w                 1962mil      797.5mil       1962mil        830mil       1962mil        830mil  B        270.00 220*           
R18        0603w                 2136mil      967.5mil       2136mil        935mil       2136mil        935mil  T         90.00 49.9*          
R19        0603w               2228.5mil        406mil       2196mil        406mil       2196mil        406mil  B        360.00 1M             
R20        0603w                 2026mil      797.5mil       2026mil        765mil       2026mil        765mil  B         90.00 249*           
R21        0603w             1195.524mil   4500.308mil   1228.024mil   4500.307mil   1228.024mil   4500.308mil  T        180.00 1.5k           
R23        1206                1058.5mil       4650mil        991mil       4650mil        991mil       4650mil  T        360.00 49.9*          
R24        0805                   287mil       4541mil        332mil       4541mil        332mil       4541mil  T        180.00 9k *           
R25        0805                   479mil       4541mil        524mil       4541mil        524mil       4541mil  T        180.00 1k *           
U7         SOIC08                1302mil       4357mil       1402mil       4282mil       1402mil       4282mil  T        180.00 ADR445B        
U9         MSOP08            1003.052mil   4503.904mil   1088.052mil   4465.504mil   1088.052mil   4465.504mil  T        180.00 AD8675         
U10        TSSOP20            924.819mil   3999.709mil   1039.976mil   4125.693mil   1039.976mil   4125.694mil  T        270.00 AD5791         
JP2_B      BTE-040-01-F-D-A    1940.25mil     1877.5mil       1326mil       1999mil       1326mil       1999mil  T        360.00 BTE-040-01-F-D-A
JP3_B      BTE-040-01-F-D-A    1940.25mil     3452.5mil       1326mil       3574mil       1326mil       3574mil  T        360.00 BTE-040-01-F-D-A
U5         MSOP08                2195mil      797.4mil       2110mil        759mil       2110mil        759mil  B          0.00 LTC6406        
C39        0603w               2352.5mil       4244mil       2320mil       4244mil       2320mil       4244mil  T          0.00 0.1uF          
C41        0603w             2298.019mil   4519.019mil       2321mil       4542mil       2321mil       4542mil  T        225.00 0.1uF          
C42        0603w             2344.019mil   4472.019mil       2367mil       4495mil       2367mil       4495mil  T        225.00 0.1uF          
C44        0603w             1925.019mil   4605.019mil       1948mil       4628mil       1948mil       4628mil  B        225.00 0.1uF          
C45        0603w             1799.019mil   4468.019mil       1822mil       4491mil       1822mil       4491mil  B        225.00 0.1uF          
JP5        sma_pcb_200           1242mil       4880mil       1142mil       4780mil       1242mil       4880mil  T         90.00 SMA            
JP6        sma_pcb_200            492mil       4880mil        392mil       4780mil        492mil       4880mil  T         90.00 SMA            
R26        1206                 308.5mil       4650mil        241mil       4650mil        241mil       4650mil  T        360.00 49.9*          
R31        0603w               2352.5mil       4190mil       2385mil       4190mil       2385mil       4190mil  T        180.00 10k*           
R32        0603w             2230.981mil   4303.019mil       2208mil       4326mil       2208mil       4326mil  T        315.00 49.9*          
R33        0603w             2469.981mil   4400.981mil       2447mil       4378mil       2447mil       4378mil  T         45.00 49.9*          
R34        0603w             2141.981mil   4392.019mil       2119mil       4415mil       2119mil       4415mil  T        315.00 49.9*          
R36        0603w             1870.019mil   4303.019mil       1893mil       4326mil       1893mil       4326mil  T        225.00 49.9*          
R37        0603w             1644.019mil   4376.981mil       1667mil       4354mil       1667mil       4354mil  T        135.00 49.9*          
R38        0603w             1959.019mil   4392.019mil       1982mil       4415mil       1982mil       4415mil  T        225.00 49.9*          
R39        0603w             1696.981mil   4277.981mil       1674mil       4255mil       1674mil       4255mil  T         45.00 0              
C76        0603w             2184.879mil   4167.469mil   2161.898mil   4144.488mil   2161.898mil   4144.488mil  B         45.00 0.1uF          
C77        0603w             2054.988mil   3885.102mil   2022.488mil   3885.102mil   2022.488mil   3885.102mil  B        360.00 0.1uF          
C78        0603w             1911.493mil   4170.917mil   1888.512mil   4193.898mil   1888.512mil   4193.898mil  B        315.00 0.1uF          
C79        0603w             1915.898mil   4048.012mil   1915.898mil   4080.512mil   1915.898mil   4080.512mil  B        270.00 0.1uF          
C80        0603w             2189.102mil   4048.012mil   2189.102mil   4080.512mil   2189.102mil   4080.512mil  B        270.00 0.1uF          
C81        0603w             1750.012mil   4211.898mil   1782.512mil   4211.898mil   1782.512mil   4211.898mil  B        180.00 1nF            
C82        0603w             1758.012mil   4053.898mil   1790.512mil   4053.898mil   1790.512mil   4053.898mil  B        180.00 1nF            
R35        0603w             2434.019mil   4294.981mil       2457mil       4272mil       2457mil       4272mil  T        135.00 0              
JP4        SIP2MOLEX          154.512mil   4882.102mil    154.512mil   4932.102mil    154.512mil   4932.102mil  T        270.00 SIP2 (PCB TERMINAL)
R52        0603w             1395.469mil    690.879mil   1372.488mil    667.898mil   1372.488mil    667.898mil  T         45.00 2k             
R53        0603w             1440.469mil    646.879mil   1417.488mil    623.898mil   1417.488mil    623.898mil  T         45.00 2k             
R54        0603w             1442.898mil    863.012mil   1442.898mil    895.512mil   1442.898mil    895.512mil  T        270.00 75*            
R55        0603w             1495.898mil    863.012mil   1495.898mil    895.512mil   1495.898mil    895.512mil  T        270.00 75*            
R56        0603w             1922.102mil    772.988mil   1922.102mil    740.488mil   1922.102mil    740.488mil  T         90.00 75*            
R57        0603w             1975.102mil    772.988mil   1975.102mil    740.488mil   1975.102mil    740.488mil  T         90.00 75*            
C106       0603w             1696.469mil   1162.879mil   1673.488mil   1139.898mil   1673.488mil   1139.898mil  T         45.00 0.1uF          
C107       0603w             1808.488mil    772.988mil   1808.488mil    740.488mil   1808.488mil    740.488mil  T         90.00 1.8pF          
C108       0603w             1641.488mil    772.988mil   1641.488mil    740.488mil   1641.488mil    740.488mil  T         90.00 1.8pF          
C109       0603w             2285.488mil    772.398mil   2285.488mil    739.898mil   2285.488mil    739.898mil  T         90.00 1.8pF          
C110       0603w             2115.488mil    772.398mil   2115.488mil    739.898mil   2115.488mil    739.898mil  T         90.00 1.8pF          
R58        0603w               3147.5mil       1960mil       3180mil       1960mil       3180mil       1960mil  B        180.00 65             
R59        0603w               3147.5mil       1570mil       3180mil       1570mil       3180mil       1570mil  B        180.00 65             
R60        0603w               3447.5mil       1960mil       3480mil       1960mil       3480mil       1960mil  B        180.00 65             
R61        0603w               3447.5mil       1570mil       3480mil       1570mil       3480mil       1570mil  B        180.00 65             
R46        0603w             1650.012mil   2163.898mil   1682.512mil   2163.898mil   1682.512mil   2163.898mil  B        180.00 147k           
C127       0603w                  290mil     4552.5mil        290mil       4520mil        290mil       4520mil  B         90.00 0.1uF          
J11        sma_edge              3852mil        289mil       3852mil        289mil       3852mil        289mil  T          0.00 SMA_EDGE       
J12        sma_edge              3852mil       1274mil       3852mil       1274mil       3852mil       1274mil  T          0.00 SMA_EDGE       
J13        sma_edge              3852mil       2258mil       3852mil       2258mil       3852mil       2258mil  T          0.00 SMA_EDGE       
J14        sma_edge              3852mil       3242mil       3852mil       3242mil       3852mil       3242mil  T          0.00 SMA_EDGE       
J15        sma_edge              3852mil       4226mil       3852mil       4226mil       3852mil       4226mil  T          0.00 SMA_EDGE       
J16        sma_edge              3852mil       5211mil       3852mil       5211mil       3852mil       5211mil  T          0.00 SMA_EDGE       
C111       0603w               3617.5mil       1160mil       3650mil       1160mil       3650mil       1160mil  T        180.00 NS             
C112       0603w               3617.5mil        940mil       3650mil        940mil       3650mil        940mil  T        180.00 NS             
C113       0603w               3457.5mil       1160mil       3490mil       1160mil       3490mil       1160mil  T        180.00 NS             
C114       0603w               3457.5mil        940mil       3490mil        940mil       3490mil        940mil  T        180.00 NS             
C115       0603w               3292.5mil       1160mil       3260mil       1160mil       3260mil       1160mil  T        360.00 NS             
C116       0603w               3292.5mil        940mil       3260mil        940mil       3260mil        940mil  T        360.00 NS             
C117       0603w               3132.5mil       1160mil       3100mil       1160mil       3100mil       1160mil  T        360.00 NS             
C118       0603w               3132.5mil        940mil       3100mil        940mil       3100mil        940mil  T        360.00 NS             
C119       0603w               3142.5mil       2370mil       3110mil       2370mil       3110mil       2370mil  T        360.00 NS             
C120       0603w               3142.5mil       2590mil       3110mil       2590mil       3110mil       2590mil  T        360.00 NS             
C121       0603w               3302.5mil       2370mil       3270mil       2370mil       3270mil       2370mil  T        360.00 NS             
C122       0603w               3302.5mil       2590mil       3270mil       2590mil       3270mil       2590mil  T        360.00 NS             
C123       0603w               3467.5mil       2370mil       3500mil       2370mil       3500mil       2370mil  T        180.00 NS             
C124       0603w               3467.5mil       2590mil       3500mil       2590mil       3500mil       2590mil  T        180.00 NS             
C125       0603w               3627.5mil       2370mil       3660mil       2370mil       3660mil       2370mil  T        180.00 NS             
C126       0603w               3627.5mil       2590mil       3660mil       2590mil       3660mil       2590mil  T        180.00 NS             
JP10       SMD_ETHERNET          3380mil     3087.5mil       3130mil       3290mil       3205mil       2776mil  T         90.00 RJ-45          
JP9        SMD_ETHERNET          3380mil      442.5mil       3630mil        240mil       3555mil        754mil  T        270.00 RJ-45          
R62        0603w                 3590mil     1047.5mil       3590mil       1080mil       3590mil       1080mil  T        270.00 0              
R63        0603w                 3430mil     1047.5mil       3430mil       1080mil       3430mil       1080mil  T        270.00 0              
R64        0603w                 3260mil     1047.5mil       3260mil       1080mil       3260mil       1080mil  T        270.00 0              
R65        0603w                 3100mil     1047.5mil       3100mil       1080mil       3100mil       1080mil  T        270.00 0              
R66        0603w                 3170mil     2482.5mil       3170mil       2450mil       3170mil       2450mil  T         90.00 0              
R67        0603w                 3330mil     2482.5mil       3330mil       2450mil       3330mil       2450mil  T         90.00 0              
R68        0603w                 3500mil     2482.5mil       3500mil       2450mil       3500mil       2450mil  T         90.00 0              
